category,delivered_orders,items_sold,item_gmv_brl,freight_value_brl,average_item_price_brl,on_time_delivery_rate_pct,average_delivery_days,average_review_score
health_beauty,8647,9465,1233131.72,178957.81,130.28,91.04,12.01,4.23
watches_gifts,5495,5859,1166176.98,98156.14,199.04,91.48,12.73,4.12
bed_bath_table,9272,10953,1023434.76,201774.5,93.44,91.25,12.93,4.0
sports_leisure,7530,8431,954852.55,163404.36,113.25,92.24,12.17,4.23
computers_accessories,6530,7644,888724.61,143999.16,116.26,92.3,13.1,4.08
furniture_decor,6307,8160,711927.69,168402.23,87.25,91.52,13.03,4.06
housewares,5743,6795,615628.69,142763.56,90.6,93.05,11.03,4.19
cool_stuff,3559,3718,610204.1,81476.79,164.12,93.17,12.33,4.22
auto,3810,4140,578966.65,90488.1,139.85,91.39,12.26,4.15
toys,3804,4030,471286.48,75774.58,116.94,92.48,11.66,4.24
garden_tools,3448,4268,470495.28,96650.4,110.24,92.05,13.58,4.18
baby,2809,2982,400421.84,66305.81,134.28,90.82,12.61,4.1
perfumery,3086,3340,390144.65,53026.98,116.81,92.61,11.86,4.26
telephony,4093,4430,309860.23,69342.39,69.95,91.47,12.9,4.05
office_furniture,1254,1668,268154.31,67057.05,160.76,90.83,20.59,3.64
stationery,2264,2466,223788.69,45786.36,90.75,92.23,12.71,4.29
computers,177,199,218684.14,9665.62,1098.92,92.66,13.82,4.22
pet_shop,1688,1924,211695.64,38918.56,110.03,93.72,11.31,4.27
musical_instruments,611,651,184315.74,17871.38,283.13,91.16,13.02,4.23
small_appliances,609,658,182754.12,15354.35,277.74,93.76,10.94,4.26
Unclassified,1392,1537,170726.63,26969.06,111.08,90.88,12.68,4.01
electronics,2517,2729,155043.93,45679.16,56.81,90.19,12.84,4.12
fashion_bags_accessories,1820,1985,149329.39,30558.9,75.23,93.35,11.17,4.24
consoles_games,1018,1089,148003.37,19094.36,135.91,91.85,13.7,4.18
construction_tools_construction,736,916,142108.49,20273.52,155.14,90.9,10.77,4.13
luggage_accessories,1019,1077,138701.63,30076.49,128.79,94.5,10.81,4.37
home_appliances_2,227,231,107953.95,10254.57,467.33,92.95,13.85,4.15
home_construction,483,596,81407.57,13614.8,136.59,91.93,13.37,3.99
home_appliances,747,754,78832.48,14469.3,104.55,93.31,11.24,4.22
agro_industry_and_commerce,177,206,70566.1,5637.2,342.55,94.92,11.37,4.11
furniture_living_room,414,495,67350.7,17694.37,136.06,91.55,13.84,4.07
home_confort,392,429,58008.45,8429.77,135.22,89.54,13.64,3.89
fixed_telephony,212,255,55315.21,4501.33,216.92,94.81,12.51,3.97
air_conditioning,246,289,53323.56,6530.99,184.51,95.93,11.82,4.12
audio,348,362,50570.6,5684.72,139.7,87.07,13.42,3.84
kitchen_dining_laundry_garden_furniture,241,274,45531.98,11540.99,166.18,95.44,11.76,4.13
books_general_interest,496,537,45302.15,8880.39,84.36,93.13,11.47,4.53
construction_tools_lights,242,301,39957.0,7490.14,132.75,90.91,9.76,4.15
construction_tools_safety,159,183,38773.22,3730.8,211.88,95.6,11.74,3.97
industry_commerce_and_business,232,265,38498.81,7580.53,145.28,91.77,10.79,4.22
food,441,499,28731.15,7063.53,57.58,90.02,9.73,4.33
market_place,274,305,27795.77,5318.61,91.13,95.26,12.21,4.09
costruction_tools_garden,190,232,25096.28,5187.66,108.17,93.16,11.81,4.25
art,195,197,23657.3,3828.23,120.09,92.31,11.21,4.1
fashion_shoes,235,257,23001.46,4813.37,89.5,93.62,15.68,4.27
drinks,287,361,21529.84,5441.27,59.64,93.38,10.3,4.24
signaling_and_security,138,197,21315.05,6477.54,108.2,94.2,10.81,4.12
books_technical,256,263,18702.23,4198.84,71.11,89.06,10.55,4.43
food_drink,221,269,14942.88,4394.89,55.55,93.67,10.75,4.45
fashion_male_clothing,106,125,10452.33,2062.62,83.62,95.28,12.79,3.82
fashion_underwear_beach,117,127,9305.95,1854.07,73.28,87.18,13.91,4.01
christmas_supplies,125,150,8737.84,3190.91,58.25,90.4,15.3,4.11
