cohort_month,activity_month,month_number,cohort_size,active_customers,retention_rate_pct
2017-01-01,2017-01-01,0,717,717,100.0
2017-01-01,2017-02-01,1,717,2,0.28
2017-01-01,2017-03-01,2,717,2,0.28
2017-01-01,2017-04-01,3,717,1,0.14
2017-01-01,2017-05-01,4,717,3,0.42
2017-01-01,2017-06-01,5,717,1,0.14
2017-01-01,2017-07-01,6,717,3,0.42
2017-01-01,2017-08-01,7,717,1,0.14
2017-01-01,2017-09-01,8,717,1,0.14
2017-01-01,2017-11-01,10,717,3,0.42
2017-01-01,2017-12-01,11,717,1,0.14
2017-01-01,2018-01-01,12,717,5,0.7
2017-01-01,2018-02-01,13,717,3,0.42
2017-01-01,2018-03-01,14,717,1,0.14
2017-01-01,2018-04-01,15,717,1,0.14
2017-01-01,2018-05-01,16,717,2,0.28
2017-01-01,2018-06-01,17,717,3,0.42
2017-02-01,2017-02-01,0,1628,1628,100.0
2017-02-01,2017-03-01,1,1628,3,0.18
2017-02-01,2017-04-01,2,1628,5,0.31
2017-02-01,2017-05-01,3,1628,2,0.12
2017-02-01,2017-06-01,4,1628,7,0.43
2017-02-01,2017-07-01,5,1628,2,0.12
2017-02-01,2017-08-01,6,1628,4,0.25
2017-02-01,2017-09-01,7,1628,3,0.18
2017-02-01,2017-10-01,8,1628,2,0.12
2017-02-01,2017-11-01,9,1628,3,0.18
2017-02-01,2017-12-01,10,1628,2,0.12
2017-02-01,2018-01-01,11,1628,5,0.31
2017-02-01,2018-02-01,12,1628,2,0.12
2017-02-01,2018-03-01,13,1628,3,0.18
2017-02-01,2018-04-01,14,1628,2,0.12
2017-02-01,2018-05-01,15,1628,1,0.06
2017-02-01,2018-06-01,16,1628,1,0.06
2017-02-01,2018-07-01,17,1628,3,0.18
2017-03-01,2017-03-01,0,2503,2503,100.0
2017-03-01,2017-04-01,1,2503,11,0.44
2017-03-01,2017-05-01,2,2503,9,0.36
2017-03-01,2017-06-01,3,2503,10,0.4
2017-03-01,2017-07-01,4,2503,9,0.36
2017-03-01,2017-08-01,5,2503,4,0.16
2017-03-01,2017-09-01,6,2503,4,0.16
2017-03-01,2017-10-01,7,2503,8,0.32
2017-03-01,2017-11-01,8,2503,8,0.32
2017-03-01,2017-12-01,9,2503,2,0.08
2017-03-01,2018-01-01,10,2503,9,0.36
2017-03-01,2018-02-01,11,2503,3,0.12
2017-03-01,2018-03-01,12,2503,5,0.2
2017-03-01,2018-04-01,13,2503,3,0.12
2017-03-01,2018-05-01,14,2503,4,0.16
2017-03-01,2018-06-01,15,2503,6,0.24
2017-03-01,2018-07-01,16,2503,2,0.08
2017-03-01,2018-08-01,17,2503,3,0.12
2017-04-01,2017-04-01,0,2256,2256,100.0
2017-04-01,2017-05-01,1,2256,14,0.62
2017-04-01,2017-06-01,2,2256,5,0.22
2017-04-01,2017-07-01,3,2256,4,0.18
2017-04-01,2017-08-01,4,2256,6,0.27
2017-04-01,2017-09-01,5,2256,6,0.27
2017-04-01,2017-10-01,6,2256,8,0.35
2017-04-01,2017-11-01,7,2256,7,0.31
2017-04-01,2017-12-01,8,2256,7,0.31
2017-04-01,2018-01-01,9,2256,4,0.18
2017-04-01,2018-02-01,10,2256,6,0.27
2017-04-01,2018-03-01,11,2256,2,0.09
2017-04-01,2018-04-01,12,2256,1,0.04
