customer_state,delivered_orders,unique_customers,item_gmv_brl,average_order_gmv_brl,average_delivery_days,on_time_delivery_rate_pct,average_late_days,average_review_score
SP,40501,39156,5067633.16,125.12,8.7,94.11,6.35,4.25
RJ,12350,11917,1759651.13,142.48,15.24,86.53,12.15,3.97
MG,11354,11001,1552481.83,136.73,11.94,94.39,6.84,4.19
RS,5345,5168,728897.47,136.37,15.25,92.85,8.71,4.19
PR,4923,4769,666063.51,135.3,11.94,95.0,6.73,4.24
SC,3546,3449,507012.13,142.98,14.9,90.24,6.99,4.13
BA,3256,3158,493584.14,151.59,19.28,85.96,10.42,3.93
DF,2080,2019,296498.41,142.55,12.9,92.93,5.95,4.13
GO,1957,1895,282836.7,144.53,15.54,91.82,9.09,4.1
ES,1995,1928,268643.45,134.66,15.72,87.77,9.91,4.08
PE,1593,1551,251889.49,158.12,18.4,89.2,10.65,4.08
CE,1279,1258,219757.38,171.82,21.2,84.68,13.63,3.94
PA,946,922,174470.59,184.43,23.73,87.63,11.62,3.91
MT,886,856,152191.62,171.77,18.0,93.23,9.4,4.15
MA,717,700,117009.38,163.19,21.51,80.33,9.31,3.83
MS,701,681,115429.97,164.66,15.54,88.45,7.0,4.16
PB,517,504,112586.82,217.77,20.39,88.97,9.79,4.08
PI,476,464,84721.0,177.99,19.39,84.03,11.59,3.99
RN,474,464,82105.66,173.22,19.22,89.24,12.49,4.15
AL,397,387,78855.72,198.63,24.5,76.07,8.54,3.85
SE,335,329,56574.19,168.88,21.46,84.78,16.2,3.91
TO,274,267,48402.51,176.65,17.6,87.23,5.03,4.15
RO,243,231,45682.76,187.99,19.28,97.12,5.57,4.17
AM,145,140,22155.84,152.8,26.36,95.86,20.17,4.24
