purchase_month,delivered_orders,active_customers,new_customers,returning_customers,item_gmv_brl,average_order_gmv_brl,on_time_delivery_rate_pct,average_review_score,month_over_month_gmv_pct
2017-01-01,750,718,717,1,111798.36,149.06,96.93,4.2,
2017-02-01,1653,1630,1628,2,234223.4,141.7,96.79,4.2,109.51
2017-03-01,2546,2508,2503,5,359198.85,141.08,94.42,4.19,53.36
2017-04-01,2303,2274,2256,18,340669.68,147.92,92.14,4.14,-5.16
2017-05-01,3546,3479,3451,28,489338.25,138.0,96.39,4.24,43.64
2017-06-01,3135,3076,3037,39,421923.37,134.58,96.14,4.22,-13.78
2017-07-01,3872,3802,3752,50,481604.52,124.38,96.57,4.26,14.15
2017-08-01,4193,4114,4057,57,554699.7,132.29,96.68,4.31,15.18
2017-09-01,4150,4083,4004,79,607399.67,146.36,94.8,4.27,9.5
2017-10-01,4478,4417,4328,89,648247.65,144.76,94.71,4.21,6.73
2017-11-01,7289,7183,7060,123,987765.37,135.51,85.69,3.99,52.37
2017-12-01,5513,5450,5338,112,726033.19,131.69,91.62,4.09,-26.5
2018-01-01,7069,6974,6842,132,924645.0,130.8,93.44,4.11,27.36
2018-02-01,6555,6400,6288,112,826437.13,126.08,84.01,3.88,-10.62
2018-03-01,7003,6914,6774,140,953356.25,136.14,78.64,3.81,15.36
2018-04-01,6798,6744,6582,162,973534.09,143.21,94.69,4.21,2.12
2018-05-01,6749,6693,6506,187,977544.69,144.84,91.76,4.24,0.41
2018-06-01,6099,6061,5878,183,856077.86,140.36,98.64,4.31,-12.43
2018-07-01,6159,6100,5949,151,867953.46,140.92,95.52,4.32,1.39
2018-08-01,6351,6310,6144,166,838576.64,132.04,89.61,4.31,-3.38
