country,revenue,orders,customers,revenue_share_pct
United Kingdom,7308391.5540000005,16646,3920,82.01163758556642
Netherlands,285446.34,94,9,3.203156482960159
EIRE,265545.9,260,3,2.9798422747634112
Germany,228867.14,457,94,2.5682489508450175
France,209024.05,389,87,2.345578299767614
Australia,138521.31,57,9,1.5544267695099325
Spain,61577.11,90,30,0.6909919359920705
Switzerland,56443.95,51,21,0.633389814584342
Belgium,41196.34,98,25,0.46228767040849383
Sweden,38378.33,36,8,0.4306651700094818
Japan,37416.369999999995,19,8,0.4198704671930142
Norway,36165.44,36,10,0.4058330668913346
Portugal,33439.89,57,19,0.37524811298324784
Finland,22546.08,41,12,0.2530024463348816
Singapore,21279.29,7,1,0.23878707191092122
Channel Islands,20450.44,26,9,0.2294860724624731
Denmark,18955.34,18,9,0.2127087010739532
Italy,17483.24,38,14,0.19618942582745452
Cyprus,13590.38,16,8,0.1525054194175062
Austria,10198.68,17,11,0.11444521572648683
Poland,7334.65,19,6,0.08230629861200436
Israel,7221.69,5,3,0.0810387099075383
Greece,4760.52,5,4,0.053420515044128765
Iceland,4310.0,7,1,0.048364972700502246
Canada,3666.38,6,4,0.04114254492103653
USA,3580.39,5,4,0.04017760199701885
Malta,2725.59,5,2,0.03058540277094244
Unspecified,2667.07,8,4,0.029928716413069264
United Arab Emirates,1902.28,3,2,0.02134657082800729
Lebanon,1693.88,1,1,0.019007995349866996
Lithuania,1661.06,4,1,0.018639703376774074
European Community,1300.25,4,1,0.014590848202744327
Brazil,1143.6,1,1,0.012832989044151824
RSA,1002.3100000000001,1,1,0.011247493222143946
Czech Republic,826.74,2,1,0.009277321932810494
Bahrain,548.4,2,2,0.00615390975149778
Saudi Arabia,145.92,1,1,0.001637451697553895
