customer_id,country,first_purchase_date,last_purchase_date,recency_days,frequency,monetary_value,average_order_value,units_purchased,active_months,tenure_days,return_value,return_invoices,return_rate_pct,is_repeat_customer,r_score,f_score,m_score,rfm_score,rfm_segment,cluster_id,cluster_name
14646,Netherlands,2010-12-20 10:09:00,2011-12-08 12:12:00,2,73,280206.02,3838.4386301369864,196915,13,355,717.0,3.0,0.25523006266983744,True,5,5,5,15,Champions,2,High-Value Loyal
18102,United Kingdom,2010-12-07 16:42:00,2011-12-09 11:50:00,1,60,259657.3,4327.621666666667,64124,12,368,3218.81,2.0,1.2244589285804632,True,5,5,5,15,Champions,2,High-Value Loyal
17450,United Kingdom,2010-12-07 09:23:00,2011-12-01 13:29:00,9,46,194550.79,4229.365,69993,12,368,7068.62,9.0,3.505922371263759,True,5,5,5,15,Champions,2,High-Value Loyal
16446,United Kingdom,2011-05-18 09:52:00,2011-12-09 09:15:00,1,2,168472.5,84236.25,80997,2,206,168469.6,1.0,49.99956965900076,True,5,3,5,13,Potential Loyalists,3,Core Regulars
14911,EIRE,2010-12-01 14:05:00,2011-12-08 15:54:00,2,201,143825.06,715.5475621890547,80265,13,374,11252.44,47.0,7.256010704325257,True,5,5,5,15,Champions,2,High-Value Loyal
12415,Australia,2011-01-06 11:12:00,2011-11-15 14:22:00,25,21,124914.53,5948.310952380953,77374,11,338,1189.08,5.0,0.942938905555519,True,4,5,5,14,Champions,2,High-Value Loyal
14156,EIRE,2010-12-03 11:48:00,2011-11-30 10:54:00,10,55,117379.63,2134.175090909091,57885,12,372,3995.4900000000002,11.0,3.2918525641828404,True,5,5,5,15,Champions,2,High-Value Loyal
17511,United Kingdom,2010-12-01 10:19:00,2011-12-07 10:12:00,3,31,91062.38,2937.496129032258,64549,13,374,2937.0,15.0,3.1244886934360627,True,5,5,5,15,Champions,2,High-Value Loyal
16029,United Kingdom,2010-12-01 09:57:00,2011-11-01 10:27:00,39,63,81024.84,1286.1085714285714,40208,12,374,30032.23,13.0,27.04215949511364,True,3,5,5,13,Loyal,2,High-Value Loyal
12346,United Kingdom,2011-01-18 10:01:00,2011-01-18 10:01:00,326,1,77183.6,77183.6,74215,1,326,77183.6,1.0,50.0,False,1,1,5,7,At Risk,1,Growth Potential
16684,United Kingdom,2010-12-16 17:34:00,2011-12-05 14:06:00,5,28,66653.56,2380.4842857142858,50255,9,359,761.48,3.0,1.1295402331586544,True,5,5,5,15,Champions,2,High-Value Loyal
14096,United Kingdom,2011-08-30 10:49:00,2011-12-05 17:17:00,5,17,65164.79,3833.2229411764706,16352,5,102,8043.88,17.0,10.987605702985725,True,5,5,5,15,Champions,2,High-Value Loyal
13694,United Kingdom,2010-12-01 12:12:00,2011-12-06 09:32:00,4,50,65039.62,1300.7924,63312,13,374,2386.52,10.0,3.5394581389354336,True,5,5,5,15,Champions,2,High-Value Loyal
15311,United Kingdom,2010-12-01 09:41:00,2011-12-09 12:00:00,1,91,60767.9,667.7791208791209,38194,13,374,1348.56,27.0,2.171018760566845,True,5,5,5,15,Champions,2,High-Value Loyal
13089,United Kingdom,2010-12-05 10:27:00,2011-12-07 09:02:00,3,97,58825.83,606.4518556701031,31070,13,370,1439.95,21.0,2.3893327191650053,True,5,5,5,15,Champions,2,High-Value Loyal
17949,United Kingdom,2010-12-03 13:12:00,2011-12-08 18:46:00,2,45,58510.48,1300.232888888889,30546,13,372,5759.64,7.0,8.961613888382345,True,5,5,5,15,Champions,2,High-Value Loyal
15769,United Kingdom,2010-12-03 15:16:00,2011-12-02 13:52:00,8,26,56252.72,2163.566153846154,29672,13,372,4429.0,3.0,7.298738400955016,True,5,5,5,15,Champions,2,High-Value Loyal
15061,United Kingdom,2010-12-02 15:19:00,2011-12-06 12:06:00,4,48,54534.14,1136.1279166666666,28920,13,373,305.4,7.0,0.5568974502703705,True,5,5,5,15,Champions,2,High-Value Loyal
14298,United Kingdom,2010-12-14 12:59:00,2011-12-01 13:12:00,9,44,51527.3,1171.075,58343,13,361,664.86,1.0,1.2738694853786467,True,5,5,5,15,Champions,2,High-Value Loyal
14088,United Kingdom,2011-01-21 13:07:00,2011-11-29 16:16:00,11,13,50491.81,3883.9853846153846,12665,6,323,76.32000000000001,1.0,0.15092509847605598,True,5,5,5,15,Champions,2,High-Value Loyal
15749,United Kingdom,2011-01-11 12:55:00,2011-04-18 13:20:00,236,3,44534.3,14844.766666666668,18028,2,333,22998.4,1.0,34.05520584842601,True,1,3,5,9,At Risk,1,Growth Potential
12931,United Kingdom,2010-12-17 09:45:00,2011-11-18 12:39:00,22,15,42055.96,2803.730666666667,28004,8,358,8593.15,5.0,16.966043430970455,True,4,5,5,14,Champions,2,High-Value Loyal
17841,United Kingdom,2010-12-01 14:41:00,2011-12-08 12:07:00,2,124,40991.57,330.5771774193548,23071,13,374,650.79,45.0,1.562807679487906,True,5,5,5,15,Champions,2,High-Value Loyal
15098,United Kingdom,2011-06-10 15:22:00,2011-06-10 15:33:00,183,3,39916.5,13305.5,121,1,183,39267.0,2.0,49.58987667885355,True,1,3,5,9,At Risk,1,Growth Potential
13798,United Kingdom,2010-12-02 17:24:00,2011-12-08 15:51:00,2,57,37153.85,651.8219298245614,23948,13,373,802.43,6.0,2.114090211158733,True,5,5,5,15,Champions,2,High-Value Loyal
16013,United Kingdom,2010-12-03 13:09:00,2011-12-06 10:36:00,4,47,37130.6,790.0127659574467,15536,13,372,3764.35,7.0,9.204926280628783,True,5,5,5,15,Champions,2,High-Value Loyal
16422,United Kingdom,2010-12-05 15:35:00,2011-11-22 14:00:00,18,51,34684.4,680.086274509804,33704,12,370,878.71,24.0,2.4708468972483004,True,4,5,5,14,Champions,2,High-Value Loyal
12748,United Kingdom,2010-12-01 12:48:00,2011-12-09 12:20:00,1,209,33719.73,161.3384210526316,25747,13,374,4647.63,14.0,12.113499599659711,True,5,5,5,15,Champions,2,High-Value Loyal
15838,United Kingdom,2010-12-07 11:26:00,2011-11-28 14:00:00,12,19,33643.08,1770.6884210526316,18368,10,368,292.32,2.0,0.8614013684824696,True,5,5,5,15,Champions,2,High-Value Loyal
