purchase_month,revenue,orders,units,active_customers,new_customers,returning_customers,average_order_value
2010-12-01,572713.89,1400,312265,885,885,0,409.08135
2011-01-01,569445.04,987,349098,741,417,324,576.9453292806485
2011-02-01,447137.35,997,265622,758,380,378,448.4827983951855
2011-03-01,595500.76,1321,348503,974,452,522,450.79542770628314
2011-04-01,469200.361,1149,292222,856,300,556,408.3554055700609
2011-05-01,678594.56,1555,373601,1056,284,772,436.39521543408364
2011-06-01,661213.6900000001,1393,363699,991,242,749,474.66883704235465
2011-07-01,600091.011,1331,369420,949,188,761,450.85725845229155
2011-08-01,645343.9,1280,398121,935,169,766,504.174921875
2011-09-01,952838.382,1755,544897,1266,299,967,542.9278529914529
2011-10-01,1039318.79,1929,593900,1364,358,1006,538.7863089683774
2011-11-01,1161817.3800000001,2657,669051,1664,323,1341,437.26660895747085
2011-12-01,518192.79,778,287413,615,41,574,666.0575706940874
