month,period_status,budget_revenue,budget_cost,budget_ebitda,base_forecast_revenue,base_forecast_cost,base_forecast_ebitda
2026-01-01,Actual,13132000.0,9905199.6,3226800.4000000004,12887206.72,10272067.17,2615139.5500000007
2026-02-01,Actual,13361810.0,9757210.0,3604600.0,13163506.24,10196385.819999998,2967120.420000002
2026-03-01,Actual,13530042.6,9803440.0,3726602.5999999996,13209828.860000001,10216795.68,2993033.1800000016
2026-04-01,Actual,13591620.0,9849670.0,3741950.0,13331763.950000001,10284115.26,3047648.6900000013
2026-05-01,Actual,13530042.6,9895900.0,3634142.5999999996,12904244.489999998,10270934.559999999,2633309.9299999997
2026-06-01,Actual,13361810.0,9942130.0,3419680.0,12736378.759999998,10637908.370000001,2098470.389999997
2026-07-01,Actual,13132000.0,10188127.200000001,2943872.799999999,13012456.14,10582906.199999997,2429549.940000003
2026-08-01,Forecast,12902190.0,10034590.0,2867600.0,12734461.53,10331441.209999999,2403020.3200000003
2026-09-01,Forecast,12733957.4,10080820.0,2653137.4000000004,12568415.960000003,10378803.84,2189612.120000003
2026-10-01,Forecast,13854260.0,10127050.0,3727210.0,13674154.619999997,10426166.479999999,3247988.1399999987
2026-11-01,Forecast,13915837.4,10173280.0,3742557.4000000004,13734931.520000001,10473529.11,3261402.410000002
2026-12-01,Forecast,14084070.0,10219510.0,3864560.0,13900977.09,10520891.75,3380085.34
