dept_rollup_name,budget,expenditures,source_lines,elapsed_pct,expected_spend_to_date,remaining_budget,utilization_pct,pace_variance,pace_gap_pct_points,linear_run_rate_proxy,projected_variance_proxy,pace_status
Austin Energy,1611344198.0,1201700564.46,6994,75.0,1208508148.5,409643633.53999996,74.57752142289341,-6807584.039999962,-0.4224785771065882,1602267419.28,-9076778.720000029,Near pace
Austin Water,931124230.0,725642894.36,6933,75.0,698343172.5,205481335.64,77.93190972594495,27299721.860000014,2.931909725944948,967523859.1466666,36399629.146666646,Near pace
Aviation,650840976.0,362072058.0,1772,75.0,488130732.0,288768918.0,55.63141709750002,-126058674.0,-19.36858290249998,482762744.0,-168078232.0,Below pace
Enterprise Debt Service,576232647.0,517960325.15999997,26,75.0,432174485.25,58272321.84000003,89.88736196337032,85785839.90999997,14.887361963370324,690613766.88,114381119.88,Above pace
Police,528637858.0,429124954.55,4480,75.0,396478393.5,99512903.44999999,81.17560028211221,32646561.050000012,6.175600282112214,572166606.0666667,43528748.06666672,Above pace
Nondepartmental,439874669.0,422501899.07,42,75.0,329906001.75,17372769.930000007,96.05051821476903,92595897.32,21.050518214769028,563335865.4266666,123461196.42666662,Above pace
Human Resources,385842777.0,321938639.63,754,75.0,289382082.75,63904137.370000005,83.43777798126308,32556556.879999995,8.437777981263082,429251519.50666666,43408742.50666666,Above pace
Public Works,310825661.0,223819475.03,3853,75.0,233119245.75,87006185.97,72.00804280763678,-9299770.719999999,-2.9919571923632162,298425966.70666665,-12399694.293333352,Near pace
Austin Convention Center,286684067.0,205794990.21,1488,75.0,215013050.25,80889076.78999999,71.78459283194137,-9218060.039999992,-3.2154071680586327,274393320.28000003,-12290746.719999969,Near pace
General Obligation Debt Service,283886060.0,79034997.32000001,7,75.0,212914545.0,204851062.68,27.84039389605816,-133879547.67999999,-47.15960610394184,105379996.42666668,-178506063.57333332,Below pace
Fire,269946011.0,228713409.91,1621,75.0,202459508.25,41232601.09,84.72561200765438,26253901.659999996,9.725612007654377,304951213.2133333,35005202.21333331,Above pace
Communications & Technology Management,166779193.0,132805315.11,1659,75.0,125084394.75,33973877.89,79.62942662158103,7720920.359999999,4.6294266215810325,177073753.48,10294560.47999999,Near pace
Financial Services,161800170.0,117732253.26,1208,75.0,121350127.5,44067916.739999995,72.76398613178219,-3617874.2399999946,-2.2360138682178103,156976337.68,-4823832.319999993,Near pace
Parks & Recreation,157486780.0,120099203.08,6100,75.0,118115085.0,37387576.92,76.2598632596336,1984118.0799999982,1.2598632596336046,160132270.77333334,2645490.773333341,Near pace
Emergency Medical Services,151269631.0,120671322.4,1246,75.0,113452223.25,30598308.599999994,79.77233870557932,7219099.150000006,4.772338705579315,160895096.53333333,9625465.533333331,Near pace
Austin Resource Recovery,146784957.0,111739432.37,1859,75.0,110088717.75,35045524.629999995,76.12458023883197,1650714.6200000048,1.1245802388319674,148985909.82666668,2200952.826666683,Near pace
Watershed Protection,135025311.0,99969751.86,1866,75.0,101268983.25,35055559.14,74.03778678206488,-1299231.3900000006,-0.9622132179351155,133293002.48,-1732308.5199999958,Near pace
Development Services,110741037.0,79786691.01,2192,75.0,83055777.75,30954345.989999995,72.04798977094644,-3269086.7399999946,-2.952010229053556,106382254.68,-4358782.319999993,Near pace
Austin Public Health,95754612.68,67025841.37,2128,75.0,71815959.51,28728771.31000001,69.9975066412644,-4790118.140000008,-5.002493358735606,89367788.49333332,-6386824.186666682,Below pace
Austin Public Library,83692693.0,63020904.29,919,75.0,62769519.75,20671788.71,75.30036617414139,251384.5399999991,0.3003661741413879,84027872.38666667,335179.38666667044,Near pace
Fleet Services,81400689.0,68567399.66,1180,75.0,61050516.75,12833289.340000004,84.23442172584068,7516882.909999996,9.234421725840676,91423199.54666667,10022510.546666667,Above pace
"Office of Arts, Culture, Music and Entertainment",71193853.0,31300098.68,1054,75.0,53395389.75,39893754.32,43.964608405166665,-22095291.07,-31.035391594833335,41733464.906666666,-29460388.093333334,Below pace
Building Services,70665881.0,52649414.33,1545,75.0,52999410.75,18016466.67,74.50471654064569,-349996.4200000018,-0.4952834593543116,70199219.10666667,-466661.89333333075,Near pace
Management Services,60518866.0,39882689.02,1627,75.0,45389149.5,20636176.979999997,65.9012497359088,-5506460.479999997,-9.098750264091194,53176918.693333335,-7341947.306666665,Below pace
Homeless Strategy Office,59378370.0,28527291.37,215,75.0,44533777.5,30851078.63,48.04323757961022,-16006486.129999999,-26.95676242038978,38036388.49333333,-21341981.506666668,Below pace
Neighborhood Housing & Community Development,55938052.0,18158349.29,269,75.0,41953539.0,37779702.71,32.461533143842765,-23795189.71,-42.538466856157235,24211132.386666667,-31726919.613333333,Below pace
Municipal Court,46012733.0,34249749.23,696,75.0,34509549.75,11762983.770000003,74.43537255220201,-259800.52000000328,-0.5646274477979887,45666332.306666665,-346400.6933333352,Near pace
Economic Development,38501627.0,22613391.58,586,75.0,28876220.25,15888235.420000002,58.733599959295226,-6262828.670000002,-16.266400040704774,30151188.77333333,-8350438.22666667,Below pace
Law,29930742.0,21756833.16,440,75.0,22448056.5,8173908.84,72.69059069768467,-691223.3399999999,-2.3094093023153306,29009110.88,-921631.120000001,Near pace
Animal Services,26243641.27,18702470.02,470,75.0,19682730.9525,7541171.25,71.26476782541388,-980260.932500001,-3.735232174586116,24936626.69333333,-1307014.576666668,Near pace
Forensic Science,15949216.0,10541455.92,366,75.0,11961912.0,5407760.08,66.09388147981694,-1420456.08,-8.906118520183057,14055274.56,-1893941.4399999995,Below pace
Planning & Zoning,14949842.0,11443150.74,414,75.0,11212381.5,3506691.26,76.54362327039978,230769.24000000022,1.5436232703997774,15257534.32,307692.3200000003,Near pace
Mayor & Council,14426799.0,9999008.54,475,75.0,10820099.25,4427790.460000001,69.30857316304191,-821090.7100000009,-5.691426836958087,13332011.386666665,-1094787.6133333351,Below pace
Austin Conv & Visitors Bureau,12913215.0,9684912.06,1,75.0,9684911.25,3228302.9399999995,75.00000627264396,0.8100000005215406,6.272643958027402e-06,12913216.08,1.0800000000745058,Near pace
Office of the City Clerk,7671881.0,5193937.0,84,75.0,5753910.75,2477944.0,67.70095886523788,-559973.75,-7.2990411347621205,6925249.333333333,-746631.666666667,Below pace
Small and Minority Business Resources,6157511.0,4615686.41,155,75.0,4618133.25,1541824.5899999999,74.96026251516237,-2446.839999999851,-0.03973748483763018,6154248.546666667,-3262.4533333331347,Near pace
Office of the City Auditor,5548299.0,3883716.52,102,75.0,4161224.25,1664582.48,69.99832777577416,-277507.73,-5.0016722242258425,5178288.693333333,-370010.30666666664,Below pace
