expense_category,expense_name,budget,expenditures,source_lines,elapsed_pct,expected_spend_to_date,remaining_budget,utilization_pct,pace_variance,pace_gap_pct_points,linear_run_rate_proxy,projected_variance_proxy,pace_status
Personnel & benefits,Regular wages - full-time,1096088089.0,684276033.15,1307,75.0,822066066.75,411812055.85,62.42892701938667,-137790033.60000002,-12.57107298061333,912368044.1999999,-183720044.80000007,Below pace
Personnel & benefits,Regular wages - Civil Services,380660631.0,219102193.19,145,75.0,285495473.25,161558437.81,57.55840645102067,-66393280.06,-17.441593548979327,292136257.58666664,-88524373.41333336,Below pace
Transfers & debt service,Trf to Util D/S Separate Lien,376506685.0,269425272.46,4,75.0,282380013.75,107081412.54000002,71.55922675317171,-12954741.290000021,-3.440773246828286,359233696.6133333,-17272988.386666715,Near pace
Contractual services,Services-other,355776696.0,272115571.99,864,75.0,266832522.0,83661124.00999999,76.48493424369762,5283049.99000001,1.484934243697623,362820762.65333337,7044066.653333366,Near pace
Transfers & debt service,Trf to Electric CIP Fund,347444627.0,229911850.4,3,75.0,260583470.25,117532776.6,66.17222789863433,-30671619.849999994,-8.827772101365667,306549133.8666667,-40895493.133333325,Below pace
Transfers & debt service,Interest payment D/S funds,281736398.0,251364954.84,14,75.0,211302298.5,30371443.159999996,89.21990790838463,40062656.34,14.219907908384627,335153273.12,53416875.120000005,Above pace
Personnel & benefits,Insurance-health/life/dental,262218137.0,181720255.41,1298,75.0,196663602.75,80497881.59,69.30117706160043,-14943347.340000004,-5.698822938399573,242293673.88,-19924463.120000005,Below pace
Personnel & benefits,Contribution to employees ret,224370008.0,175847609.32,1287,75.0,168277506.0,48522398.68000001,78.37393726883496,7570103.319999993,3.3739372688349647,234463479.09333333,10093471.093333334,Near pace
Contractual services,Administrative Support,219058688.0,182588138.7,33,75.0,164294016.0,36470549.30000001,83.35124270442084,18294122.699999988,8.35124270442084,243450851.6,24392163.599999994,Above pace
Personnel & benefits,Medical Claims,213658821.0,189558146.95,9,75.0,160244115.75,24100674.050000012,88.72001917018909,29314031.199999988,13.72001917018909,252744195.9333333,39085374.93333331,Above pace
Transfers & debt service,Trf to General Fund,210345014.0,175545844.97,7,75.0,157758760.5,34799169.03,83.45614741787985,17787084.47,8.456147417879848,234061126.62666667,23716112.626666665,Above pace
Transfers & debt service,Principal payment D/S funds,207500000.0,207499999.99,11,75.0,155625000.0,0.009999990463256836,99.99999999518073,51874999.99000001,24.99999999518073,276666666.65333337,69166666.65333337,Above pace
Contractual services,Transmission Cost of Service,207041178.0,173006174.48,1,75.0,155280883.5,34035003.52000001,83.56123943614733,17725290.97999999,8.561239436147332,230674899.30666664,23633721.306666642,Above pace
Transfers & debt service,Trf to Airport CIP Fund,196000000.0,100000000.0,2,75.0,147000000.0,96000000.0,51.02040816326531,-47000000.0,-23.97959183673469,133333333.33333333,-62666666.66666667,Below pace
Grants & contributions,Grants to subrecipients,184848789.0,89076840.12,105,75.0,138636591.75,95771948.88,48.18903093814696,-49559751.629999995,-26.810969061853037,118769120.16000001,-66079668.83999999,Below pace
Transfers & debt service,Redemption of principal-gen,172161028.0,21435000.0,2,75.0,129120771.0,150726028.0,12.450552978807725,-107685771.0,-62.54944702119228,28580000.0,-143581028.0,Below pace
Transfers & debt service,Trf to Airport Capital Fund,122221268.0,0.0,1,75.0,91665951.0,122221268.0,0.0,-91665951.0,-75.0,0.0,-122221268.0,Below pace
Transfers & debt service,Interest-general,114585648.0,58146052.17,4,75.0,85939236.0,56439595.83,50.74462045194351,-27793183.83,-24.25537954805649,77528069.56,-37057578.44,Below pace
Transfers & debt service,Trf to ABIA 95 D/S Fund,113484328.0,92321400.0,3,75.0,85113246.0,21162928.0,81.3516735103723,7208154.0,6.351673510372294,123095200.0,9610872.0,Above pace
Other operating costs,CTM Support,110498454.0,92157496.9,42,75.0,82873840.5,18340957.099999994,83.40161655112388,9283656.400000006,8.40161655112388,122876662.53333335,12378208.533333346,Above pace
Other operating costs,FICA tax,91473307.0,72884082.06,1325,75.0,68604980.25,18589224.939999998,79.6779786916417,4279101.810000002,4.677978691641698,97178776.08,5705469.079999998,Near pace
Transfers & debt service,Trf to Wastewater CIP Fund,90150000.0,74463408.0,1,75.0,67612500.0,15686592.0,82.59945424292846,6850908.0,7.599454242928459,99284544.0,9134544.0,Above pace
Other operating costs,Prescription plan,88055938.0,75509994.59,9,75.0,66041953.5,12545943.409999996,85.75230280324763,9468041.090000004,10.75230280324763,100679992.78666668,12624054.786666676,Above pace
Other operating costs,STP-operating expense,71414960.0,57685977.15,3,75.0,53561220.0,13728982.850000001,80.77576063894736,4124757.1499999985,5.775760638947361,76914636.2,5499676.200000003,Above pace
Transfers & debt service,Debt defeasance payment D/S funds,70933211.0,0.0,3,75.0,53199908.25,70933211.0,0.0,-53199908.25,-75.0,0.0,-70933211.0,Below pace
Personnel & benefits,Temporary employees,69745201.0,46964879.41,813,75.0,52308900.75,22780321.590000004,67.33779347771899,-5344021.340000004,-7.662206522281011,62619839.21333333,-7125361.786666669,Below pace
Transfers & debt service,Trf to Convention Center,69129558.0,57713440.0,2,75.0,51847168.5,11416118.0,83.48590916782659,5866271.5,8.485909167826591,76951253.33333333,7821695.333333328,Above pace
Transfers & debt service,Trf to Conv Ctr Tax Fund,68436109.0,70467424.88,1,75.0,51327081.75,-2031315.8799999952,102.96819312155809,19140343.129999995,27.968193121558087,93956566.50666666,25520457.50666666,Above pace
Grants & contributions,Contribution to police ret,68109417.0,54223155.230000004,98,75.0,51082062.75,13886261.769999996,79.61183286886745,3141092.480000004,4.611832868867452,72297540.30666667,4188123.306666672,Near pace
Transfers & debt service,Trf to Conv Ctr Capital Fund,64420235.0,61311245.31,4,75.0,48315176.25,3108989.6899999976,95.17389265965888,12996069.060000002,20.173892659658875,81748327.08,17328092.08,Above pace
"Supplies, technology & equipment",Maintenance-computer software,63723601.0,45122707.53,263,75.0,47792700.75,18600893.47,70.81004027063693,-2669993.219999999,-4.189959729363068,60163610.04,-3559990.960000001,Near pace
Other operating costs,Interdepartmental Charges,63391217.0,47149620.38,291,75.0,47543412.75,16241596.619999997,74.37879032989696,-393792.3699999973,-0.6212096701030418,62866160.50666667,-525056.4933333322,Near pace
Personnel & benefits,Overtime - Civil Service,58374471.0,62147194.25,150,75.0,43780853.25,-3772723.25,106.46296777575937,18366341.0,31.462967775759367,82862925.66666667,24488454.66666667,Above pace
Other operating costs,Fleet-equip.preventative maint,58279227.0,47029294.37,335,75.0,43709420.25,11249932.630000003,80.69649648922076,3319874.1199999973,5.696496489220763,62705725.82666666,4426498.826666661,Above pace
Contractual services,Services-construction contr,54933510.0,39414346.14,70,75.0,41200132.5,15519163.86,71.74918577021566,-1785786.3599999994,-3.250814229784339,52552461.52,-2381048.4799999967,Near pace
Contractual services,Services-Software as a Service,53918764.0,41043780.24,321,75.0,40439073.0,12874983.759999998,76.12151539675502,604707.2400000021,1.121515396755015,54725040.32,806276.3200000003,Near pace
Other operating costs,Fayette operating expense,48616000.0,42688671.04,1,75.0,36462000.0,5927328.960000001,87.80786374856015,6226671.039999999,12.807863748560152,56918228.053333335,8302228.053333335,Above pace
Contractual services,Services-PID contract expense,42904252.0,3663727.62,11,75.0,32178189.0,39240524.38,8.539311255210789,-28514461.38,-66.46068874478921,4884970.16,-38019281.84,Below pace
Personnel & benefits,Overtime,39708058.0,37077477.68,915,75.0,29781043.5,2630580.3200000003,93.37519774953486,7296434.18,18.375197749534863,49436636.906666666,9728578.906666666,Above pace
Transfers & debt service,Trf to Water CIP Fund,37520000.0,29307816.0,1,75.0,28140000.0,8212184.0,78.11251599147121,1167816.0,3.112515991471213,39077088.0,1557088.0,Near pace
Contractual services,Electric services,37430127.0,31907348.81,207,75.0,28072595.25,5522778.190000001,85.24509898136333,3834753.5599999987,10.245098981363327,42543131.74666666,5113004.746666662,Above pace
Other operating costs,Utility Billing System Support,34568755.0,28807295.84,6,75.0,25926566.25,5761459.16,83.33333335261857,2880729.59,8.333333352618567,38409727.78666667,3840972.786666669,Above pace
Other operating costs,Indirect costs-FMC 74-4,33506268.0,55000894.239999995,112,75.0,25129701.0,-21494626.239999995,164.15106045233085,29871193.239999995,89.15106045233085,73334525.65333332,39828257.65333332,Above pace
Transfers & debt service,Trf to Water Operating Fund,32525173.0,27081859.13,4,75.0,24393879.75,5443313.870000001,83.26430463567404,2687979.379999999,8.264304635674037,36109145.50666667,3583972.5066666678,Above pace
Other operating costs,Chemicals,32168241.0,20684641.43,151,75.0,24126180.75,11483599.57,64.30143765088057,-3441539.3200000003,-10.698562349119427,27579521.906666666,-4588719.093333334,Below pace
Contractual services,Services-IT staffing,31723227.0,18025800.48,84,75.0,23792420.25,13697426.52,56.82208963167587,-5766619.77,-18.177910368324127,24034400.64,-7688826.359999999,Below pace
Transfers & debt service,Trf to Watershed CIP Fund,31243153.0,23807364.75,6,75.0,23432364.75,7435788.25,76.2002629824205,375000.0,1.2002629824204973,31743153.0,500000.0,Near pace
Grants & contributions,Contribution to firefighter rt,31239239.0,25624684.48,26,75.0,23429429.25,5614554.52,82.02723657897045,2195255.2300000004,7.027236578970445,34166245.97333334,2927006.9733333364,Above pace
Contractual services,Consultant-others,30888615.99,10704849.97,177,75.0,23166461.9925,20183766.019999996,34.65629529489321,-12461612.022499999,-40.34370470510679,14273133.293333335,-16615482.696666664,Below pace
Transfers & debt service,Trf to Conv Ctr Venue Fund,30416048.0,31322682.16,1,75.0,22812036.0,-906634.1600000001,102.98077567473591,8510646.16,27.98077567473591,41763576.21333333,11347528.213333331,Above pace
Contractual services,Consulting-information technology,30003440.0,18238548.96,88,75.0,22502580.0,11764891.04,60.788192820556574,-4264031.039999999,-14.211807179443426,24318065.28,-5685374.719999999,Below pace
Transfers & debt service,TRF CRF to Debt Defeasance,30000000.0,76619867.1,3,75.0,22500000.0,-46619867.099999994,255.39955699999996,54119867.099999994,180.39955699999996,102159822.8,72159822.8,Above pace
Other operating costs,Facilities Management Support,28967879.0,3396529.48,48,75.0,21725909.25,25571349.52,11.725157647889926,-18329379.77,-63.27484235211007,4528705.973333334,-24439173.026666667,Below pace
Other operating costs,CTECC Support,27385284.0,22871462.9,12,75.0,20538963.0,4513821.1000000015,83.51734785733827,2332499.8999999985,8.517347857338265,30495283.866666663,3109999.8666666634,Above pace
Transfers & debt service,Trf to ACCD HOT D/S Fund,26807801.0,7171700.0,2,75.0,20105850.75,19636101.0,26.75228751511547,-12934150.75,-48.24771248488453,9562266.666666666,-17245534.333333336,Below pace
Transfers & debt service,Trf to Other Enterprise DS Rsv,24810721.0,20675600.9,2,75.0,18608040.75,4135120.1000000015,83.33333360203437,2067560.1499999985,8.333333602034372,27567467.866666663,2756746.8666666634,Above pace
Transfers & debt service,Trf to GO Debt Service,24275237.0,23449603.0,18,75.0,18206427.75,825634.0,96.59886327783329,5243175.25,21.59886327783329,31266137.333333332,6990900.333333332,Above pace
Transfers & debt service,Trf to Economic Development,23729461.0,19795649.5,6,75.0,17797095.75,3933811.5,83.42224671685547,1998553.75,8.422246716855469,26394199.333333332,2664738.333333332,Above pace
Other operating costs,Medicare tax,23507075.0,19169876.38,1332,75.0,17630306.25,4337198.620000001,81.54939047074126,1539570.129999999,6.549390470741258,25559835.173333332,2052760.173333332,Above pace
Transfers & debt service,Trf to Conv Ctr CIP Fund,21858638.0,20858638.0,3,75.0,16393978.5,1000000.0,95.4251495449991,4464659.5,20.4251495449991,27811517.333333332,5952879.333333332,Above pace
"Supplies, technology & equipment",Maintenance-computer hardware,21327141.0,15650319.32,73,75.0,15995355.75,5676821.68,73.3821721345585,-345036.4299999997,-1.6178278654414981,20867092.426666666,-460048.5733333342,Near pace
Other operating costs,Interdeptl-council priorities,20749550.0,50000.0,2,75.0,15562162.5,20699550.0,0.2409690812571839,-15512162.5,-74.75903091874281,66666.66666666667,-20682883.333333332,Below pace
Transfers & debt service,Trf to Historical Preservation Fund,20530832.0,20255889.08,2,75.0,15398124.0,274942.9200000018,98.66082913736763,4857765.079999998,23.660829137367628,27007852.106666666,6477020.1066666655,Above pace
