dept_rollup_name,fund_name,budget,expenditures,source_lines,elapsed_pct,expected_spend_to_date,remaining_budget,utilization_pct,pace_variance,pace_gap_pct_points,linear_run_rate_proxy,projected_variance_proxy,pace_status
Austin Energy,Austin Energy Fund,1384655791.0,1072524282.1999999,6984,75.0,1038491843.25,312131508.8000001,77.45782664335819,34032438.94999993,2.457826643358189,1430032376.2666667,45376585.26666665,Near pace
Police,General Fund,525359250.0,428265549.98,4427,75.0,394019437.5,97093700.01999998,81.518608453168,34246112.48000002,6.5186084531679995,571020733.3066667,45661483.30666673,Above pace
Aviation,Airport Operating Fund,444931718.0,227145010.74,1765,75.0,333698788.5,217786707.26,51.05165614198806,-106553777.75999999,-23.94834385801194,302860014.32,-142071703.68,Below pace
Austin Water,Austin Water Water Utility Operating Fund,433874052.0,326848927.28,3594,75.0,325405539.0,107025124.72000003,75.33267448775663,1443388.2799999714,0.3326744877566341,435798569.70666665,1924517.7066666484,Near pace
Austin Water,Austin Water Wastewater Utility Operating Fund,412858853.0,329838726.90999997,3237,75.0,309644139.75,83020126.09000003,79.8914022342643,20194587.159999967,4.891402234264305,439784969.2133333,26926116.21333331,Near pace
Human Resources,Employee Benefits Fund,332107330.0,285935905.94,81,75.0,249080497.5,46171424.06,86.09743902370357,36855408.44,11.097439023703572,381247874.58666664,49140544.58666664,Above pace
General Obligation Debt Service,General Obligation Debt Service Fund,283490710.0,78685418.76,4,75.0,212618032.5,204805291.24,27.755907331143234,-133932613.74,-47.244092668856766,104913891.68,-178576818.32,Below pace
Fire,General Fund,269064011.0,227838409.91,1616,75.0,201798008.25,41225601.09,84.67814371131188,26040401.659999996,9.678143711311876,303784546.5466667,34720535.54666668,Above pace
Enterprise Debt Service,AWU Debt Service Fund,225161708.0,214220394.21,4,75.0,168871281.0,10941313.789999992,95.14068627068684,45349113.21000001,20.140686270686842,285627192.28000003,60465484.28000003,Above pace
Austin Energy,E-Elec Short Trm Debt Clearing,223938407.0,126990000.0,1,75.0,167953805.25,96948407.0,56.70755709180337,-40963805.25,-18.292442908196627,169320000.0,-54618407.0,Below pace
Public Works,Transportation Fund,213402629.0,158391153.25,2391,75.0,160051971.75,55011475.75,74.22174412387393,-1660818.5,-0.7782558761260674,211188204.33333334,-2214424.6666666567,Near pace
Nondepartmental,Project Connect Fund,187483362.0,184215501.04999998,2,75.0,140612521.5,3267860.950000018,98.25698615859044,43602979.54999998,23.256986158590436,245620668.06666663,58137306.06666663,Above pace
Aviation,Airport Capital Fund,185706476.0,119781763.25,2,75.0,139279857.0,65924712.75,64.50058491767406,-19498093.75,-10.499415082325939,159709017.66666666,-25997458.333333343,Below pace
Enterprise Debt Service,AE Debt Service Fund,174097715.0,174736976.86,2,75.0,130573286.25,-639261.8600000143,100.36718566926625,44163690.610000014,25.36718566926625,232982635.81333336,58884920.81333336,Above pace
Nondepartmental,Hotel Occupancy Tax Fund,167288265.0,172282881.85999998,6,75.0,125466198.75,-4994616.8599999845,102.98563492185181,46816683.109999985,27.985634921851812,229710509.14666665,62422244.146666646,Above pace
Emergency Medical Services,General Fund,151080254.0,120496099.69,1232,75.0,113310190.5,30584154.310000002,79.75635233575925,7185909.189999998,4.756352335759246,160661466.25333333,9581212.25333333,Near pace
Austin Resource Recovery,Austin Resource Recovery Fund,146784957.0,111739432.37,1848,75.0,110088717.75,35045524.629999995,76.12458023883197,1650714.6200000048,1.1245802388319674,148985909.82666668,2200952.826666683,Near pace
Parks & Recreation,General Fund,135791723.0,104358683.83,5428,75.0,101843792.25,31433039.17,76.85202126053,2514891.579999998,1.8520212605299946,139144911.77333334,3353188.773333341,Near pace
Watershed Protection,Drainage Utility Fund,127863125.0,94855924.5,1860,75.0,95897343.75,33007200.5,74.18552025847953,-1041419.25,-0.8144797415204721,126474566.0,-1388559.0,Near pace
Communications & Technology Management,Information and Technology Fund,111323633.0,91232005.15,1111,75.0,83492724.75,20091627.849999994,81.952055184904,7739280.400000006,6.9520551849039975,121642673.53333335,10319040.533333346,Above pace
Enterprise Debt Service,Airport Revenue Bond Redemption Fund,104909375.0,103921048.62,2,75.0,78682031.25,988326.3799999952,99.05792367936613,25239017.370000005,24.057923679366127,138561398.16,33652023.16,Above pace
Austin Public Health,General Fund,90603874.0,66051210.13,2020,75.0,67952905.5,24552663.869999997,72.9010882360284,-1901695.3699999973,-2.0989117639716,88068280.17333333,-2535593.826666668,Near pace
Fleet Services,Fleet Services Fund,81400689.0,65955518.39,1170,75.0,61050516.75,15445170.61,81.02574953634607,4905001.640000001,6.025749536346069,87940691.18666667,6540002.186666667,Above pace
Austin Public Library,General Fund,80022495.0,62595750.17,856,75.0,60016871.25,17426744.83,78.22269246916133,2578878.920000002,3.2226924691613306,83461000.22666667,3438505.226666674,Near pace
Development Services,Development Services Fund,74987971.0,52429390.39,1255,75.0,56240978.25,22558580.61,69.91706761875182,-3811587.8599999994,-5.082932381248185,69905853.85333334,-5082117.146666661,Below pace
Financial Services,Support Services Fund,73368178.0,55568906.68,1156,75.0,55026133.5,17799271.32,75.73979372910146,542773.1799999997,0.7397937291014642,74091875.57333334,723697.5733333379,Near pace
Austin Convention Center,Convention Center Operating Fund,71893248.0,55325667.58,994,75.0,53919936.0,16567580.420000002,76.95530403634011,1405731.5799999982,1.9553040363401095,73767556.77333333,1874308.773333326,Near pace
Austin Convention Center,Convention Center Tax Fund,68496708.0,57080590.0,1,75.0,51372531.0,11416118.0,83.33333333333333,5708059.0,8.333333333333329,76107453.33333333,7610745.333333328,Above pace
Public Works,Capital Projects Management Fund,65093023.0,42899146.76,961,75.0,48819767.25,22193876.240000002,65.90437005821653,-5920620.490000002,-9.095629941783471,57198862.346666664,-7894160.653333336,Below pace
Nondepartmental,General Fund,57207068.0,42560167.51,19,75.0,42905301.0,14646900.490000002,74.39669432105838,-345133.4900000021,-0.6033056789416236,56746890.01333333,-460177.98666667193,Near pace
Management Services,Support Services Fund,53640916.0,35766245.25,1570,75.0,40230687.0,17874670.75,66.67717093048896,-4464441.75,-8.322829069511045,47688327.0,-5952589.0,Below pace
Homeless Strategy Office,General Fund,48660157.0,24203434.63,197,75.0,36495117.75,24456722.37,49.739738057154234,-12291683.120000001,-25.260261942845766,32271246.173333332,-16388910.826666668,Below pace
Municipal Court,General Fund,45846698.0,34133959.58,678,75.0,34385023.5,11712738.420000002,74.45238385543055,-251063.9200000018,-0.5476161445694459,45511946.10666666,-334751.8933333382,Near pace
Austin Convention Center,Convention Center Capital Fund,37306706.0,20858638.0,2,75.0,27980029.5,16448068.0,55.911229471720176,-7121391.5,-19.088770528279824,27811517.333333332,-9495188.666666668,Below pace
Development Services,Austin Code Fund,35723066.0,27361897.24,924,75.0,26792299.5,8361168.760000002,76.59448167186993,569597.7399999984,1.5944816718699286,36482529.65333333,759463.6533333287,Near pace
Communications & Technology Management,"Combined Transportation, Emergency & Communications Ctr Fund",34342962.0,26172729.62,240,75.0,25757221.5,8170232.379999999,76.20987851892332,415508.12000000104,1.2098785189233183,34896972.82666667,554010.826666668,Near pace
Human Resources,Support Services Fund,31839115.0,22889959.25,646,75.0,23879336.25,8949155.75,71.89257380426561,-989377.0,-3.1074261957343907,30519945.666666668,-1319169.333333332,Near pace
Building Services,Facilities Management Fund,31651952.0,23189555.49,762,75.0,23738964.0,8462396.510000002,73.26421918622901,-549408.5100000016,-1.7357808137709867,30919407.319999997,-732544.6800000034,Near pace
"Office of Arts, Culture, Music and Entertainment",Historic Preservation Fund,31379499.0,13043653.61,13,75.0,23534624.25,18335845.39,41.56743742148337,-10490970.64,-33.43256257851663,17391538.146666665,-13987960.853333335,Below pace
Austin Water,Austin Water Community Benefit Charge Fund,31185063.0,20828123.99,5,75.0,23388797.25,10356939.010000002,66.78878279001712,-2560673.2600000016,-8.211217209982877,27770831.986666664,-3414231.0133333355,Below pace
Enterprise Debt Service,Convention Center HOT Debt Service Fund-Subordinate Lien,30616895.0,8171377.35,4,75.0,22962671.25,22445517.65,26.689111844947046,-14791293.9,-48.31088815505295,10895169.799999999,-19721725.200000003,Below pace
Austin Convention Center,Convention Center Venue Project Fund,30520088.0,23138662.5,2,75.0,22890066.0,7381425.5,75.81453402100283,248596.5,0.814534021002828,30851550.0,331462.0,Near pace
Austin Convention Center,Tourism Public Improvement District,27878795.0,13918826.290000001,4,75.0,20909096.25,13959968.709999999,49.92621198297846,-6990269.959999999,-25.073788017021542,18558435.053333335,-9320359.946666665,Below pace
Animal Services,General Fund,25107547.0,18383155.3,430,75.0,18830660.25,6724391.699999999,73.21764766585919,-447504.94999999925,-1.7823523341408105,24510873.733333334,-596673.2666666657,Near pace
Neighborhood Housing & Community Development,Homestead Preservation Reinvestment Tax Increment Fund,24019067.0,600000.0,6,75.0,18014300.25,23419067.0,2.4980154308241866,-17414300.25,-72.50198456917582,800000.0,-23219067.0,Below pace
Building Services,Support Services Fund,23821653.0,20147145.04,675,75.0,17866239.75,3674507.960000001,84.57492450251038,2280905.289999999,9.574924502510385,26862860.05333333,3041207.053333331,Above pace
Financial Services,Waller Creek Tax Increment Financing Fund,23643086.0,19702571.7,1,75.0,17732314.5,3940514.3000000007,83.33333347431888,1970257.1999999993,8.333333474318877,26270095.599999998,2627009.5999999978,Above pace
Public Works,Parking Management Fund,23603005.0,16549347.97,325,75.0,17702253.75,7053657.029999999,70.11542797198916,-1152905.7799999993,-4.884572028010837,22065797.293333333,-1537207.706666667,Near pace
Law,Support Services Fund,22766742.0,18136777.2,338,75.0,17075056.5,4629964.800000001,79.66347227020889,1061720.6999999993,4.663472270208885,24182369.599999998,1415627.5999999978,Near pace
Economic Development,Economic Development Fund,22678367.0,13304567.75,547,75.0,17008775.25,9373799.25,58.66633937972694,-3704207.5,-16.333660620273058,17739423.666666668,-4938943.333333332,Below pace
Nondepartmental,General Fund Budget Stabilization Reserve Fund,22582842.0,18773201.65,9,75.0,16937131.5,3809640.3500000015,83.1303768143974,1836070.1499999985,8.130376814397394,25030935.53333333,2448093.5333333313,Above pace
Human Resources,Workers' Compensation Fund,21431332.0,12660244.450000001,25,75.0,16073499.0,8771087.549999999,59.07353052064146,-3413254.549999999,-15.926469479358538,16880325.933333334,-4551006.066666666,Below pace
Communications & Technology Management,Wireless Communication Services Fund,21112598.0,15385508.54,307,75.0,15834448.5,5727089.460000001,72.87359206100547,-448939.9600000009,-2.1264079389945323,20514011.386666667,-598586.6133333333,Near pace
Austin Water,W-Water Impact Fees,20010000.0,20006546.49,1,75.0,15007500.0,3453.510000001639,99.98274107946025,4999046.489999998,24.982741079460254,26675395.319999997,6665395.319999997,Above pace
Aviation,New Airport PFC,18202587.0,13838190.51,1,75.0,13651940.25,4364396.49,76.02320763526635,186250.25999999978,1.0232076352663455,18450920.68,248333.6799999997,Near pace
Enterprise Debt Service,Convention Center Expansion Senior Lien Debt Service Fund,17858638.0,0.0,2,75.0,13393978.5,17858638.0,0.0,-13393978.5,-75.0,0.0,-17858638.0,Below pace
Parks & Recreation,Golf Fund,17611433.0,13451892.48,576,75.0,13208574.75,4159540.5199999996,76.38158961851656,243317.73000000045,1.381589618516557,17935856.64,324423.6400000006,Near pace
Austin Water,Austin Water Reclaimed Water Utility Operating Fund,17141734.0,13375650.54,88,75.0,12856300.5,3766083.460000001,78.02974039849177,519350.0399999991,3.029740398491768,17834200.72,692466.7199999988,Near pace
"Office of Arts, Culture, Music and Entertainment",Cultural Arts Fund,17000000.0,4672482.140000001,11,75.0,12750000.0,12327517.86,27.485189058823533,-8077517.859999999,-47.514810941176464,6229976.186666667,-10770023.813333333,Below pace
Austin Convention Center,Convention Center Palmer Events Center Operating Fund,16164701.0,13190439.56,395,75.0,12123525.75,2974261.4399999995,81.60026937708282,1066913.8100000005,6.6002693770828245,17587252.746666666,1422551.7466666661,Above pace
Enterprise Debt Service,Airport Bond Interest Holding Fund,16154688.0,12641900.0,1,75.0,12116016.0,3512788.0,78.25530273317565,525884.0,3.255302733175654,16855866.666666668,701178.6666666679,Near pace
Forensic Science,General Fund,15949216.0,10541455.92,365,75.0,11961912.0,5407760.08,66.09388147981694,-1420456.08,-8.906118520183057,14055274.56,-1893941.4399999995,Below pace
Austin Convention Center,Town Lake Park Vehicle Rental Tax Fund,14998344.0,12265151.600000001,3,75.0,11248758.0,2733192.3999999985,81.77670548161852,1016393.6000000015,6.776705481618521,16353535.466666669,1355191.4666666687,Above pace
Neighborhood Housing & Community Development,Neighborhood Housing-Housing Trust Fund,14933356.0,8038482.29,15,75.0,11200017.0,6894873.71,53.82904077288454,-3161534.71,-21.17095922711546,10717976.386666667,-4215379.613333333,Below pace
Mayor & Council,Support Services Fund,14426799.0,9999008.54,475,75.0,10820099.25,4427790.460000001,69.30857316304191,-821090.7100000009,-5.691426836958087,13332011.386666665,-1094787.6133333351,Below pace
Financial Services,Downtown Public Improvement District Fund,14416494.0,3230685.23,5,75.0,10812370.5,11185808.77,22.409645715525564,-7581685.27,-52.59035428447444,4307580.306666667,-10108913.693333333,Below pace
Financial Services,Mueller Tax Increment Financing Fund,13896782.0,11580651.7,1,75.0,10422586.5,2316130.3000000007,83.33333357319702,1158065.1999999993,8.333333573197024,15440868.933333332,1544086.9333333317,Above pace
Planning & Zoning,General Fund,13140082.0,9706841.52,401,75.0,9855061.5,3433240.4800000004,73.87200110318946,-148219.98000000045,-1.1279988968105386,12942455.36,-197626.6400000006,Near pace
Austin Conv & Visitors Bureau,Tourism And Promotion Fund,12913215.0,9684912.06,1,75.0,9684911.25,3228302.9399999995,75.00000627264396,0.8100000005215406,6.272643958027402e-06,12913216.08,1.0800000000745058,Near pace
Neighborhood Housing & Community Development,General Fund,12028860.0,9519867.0,235,75.0,9021645.0,2508993.0,79.14188875753813,498222.0,4.141888757538126,12693156.0,664296.0,Near pace
"Office of Arts, Culture, Music and Entertainment",General Fund,11392925.0,8091650.03,881,75.0,8544693.75,3301274.9699999997,71.02346438688923,-453043.71999999974,-3.9765356131107694,10788866.706666667,-604058.293333333,Near pace
Financial Services,Waller Creek Reserve Fund,11197012.0,11098981.0,1,75.0,8397759.0,98031.0,99.12448964062912,2701222.0,24.124489640629122,14798641.333333334,3601629.333333334,Above pace
Austin Water,S-Wastewater Impact Fees,9990000.0,9990163.62,1,75.0,7492500.0,-163.61999999918044,100.00163783783782,2497663.619999999,25.00163783783782,13320218.159999998,3330218.1599999983,Above pace
Economic Development,Economic Incentives Reserve Fund,9967958.0,5922283.24,4,75.0,7475968.5,4045674.76,59.413204188861954,-1553685.2599999998,-15.586795811138046,7896377.653333333,-2071580.3466666667,Below pace
Financial Services,GCP-Interest Income Fund,9340294.0,9340294.0,1,75.0,7005220.5,0.0,100.0,2335073.5,25.0,12453725.333333334,3113431.333333334,Above pace
Office of the City Clerk,Support Services Fund,7671881.0,5193937.0,84,75.0,5753910.75,2477944.0,67.70095886523788,-559973.75,-7.2990411347621205,6925249.333333333,-746631.666666667,Below pace
Law,Liability Reserve Fund,7164000.0,3620055.96,102,75.0,5373000.0,3543944.04,50.53121105527638,-1752944.04,-24.46878894472362,4826741.28,-2337258.7199999997,Below pace
Austin Convention Center,Convention Center Expansion,7000000.0,0.0,1,75.0,5250000.0,7000000.0,0.0,-5250000.0,-75.0,0.0,-7000000.0,Below pace
Management Services,Urban Forest Replenishment Fund,6877950.0,4123169.42,12,75.0,5158462.5,2754780.58,59.947650390014466,-1035293.0800000001,-15.052349609985534,5497559.226666667,-1380390.7733333334,Below pace
Austin Convention Center,Convention Center Palmer Events Center Revenue Fund,6208371.0,5645956.380000001,3,75.0,4656278.25,562414.6199999992,90.94102752557798,989678.1300000008,15.94102752557798,7527941.840000001,1319570.8400000008,Above pace
Small and Minority Business Resources,Support Services Fund,6157511.0,4615686.41,155,75.0,4618133.25,1541824.5899999999,74.96026251516237,-2446.839999999851,-0.03973748483763018,6154248.546666667,-3262.4533333331347,Near pace
"Office of Arts, Culture, Music and Entertainment",Live Music Fund,5575000.0,981616.08,3,75.0,4181250.0,4593383.92,17.60746331838565,-3199633.92,-57.392536681614345,1308821.44,-4266178.5600000005,Below pace
Office of the City Auditor,Support Services Fund,5548299.0,3883716.52,102,75.0,4161224.25,1664582.48,69.99832777577416,-277507.73,-5.0016722242258425,5178288.693333333,-370010.30666666664,Below pace
Nondepartmental,Support Services Fund,5313132.0,4670147.0,4,75.0,3984849.0,642985.0,87.89819262913099,685298.0,12.898192629130989,6226862.666666667,913730.666666667,Above pace
Financial Services,Mueller Local Government Corp,5260966.0,460643.63,3,75.0,3945724.5,4800322.37,8.755875441886529,-3485080.87,-66.24412455811347,614191.5066666667,-4646774.493333333,Below pace
Homeless Strategy Office,Neighborhood Housing-Housing Trust Fund,5057474.0,4279941.359999999,5,75.0,3793105.5,777532.6400000006,84.62606747953622,486835.8599999994,9.626067479536218,5706588.4799999995,649114.4799999995,Above pace
Building Services,Public Safety HQ Fund,5000000.0,2209414.57,30,75.0,3750000.0,2790585.43,44.1882914,-1540585.4300000002,-30.811708600000003,2945886.0933333333,-2054113.9066666667,Below pace
Neighborhood Housing & Community Development,Neighborhood Housing University Neighborhood Overlay Fund,4956769.0,0.0,2,75.0,3717576.75,4956769.0,0.0,-3717576.75,-75.0,0.0,-4956769.0,Below pace
Enterprise Debt Service,Convention Center Waller Creek Venue Debt Service Fund,4916175.0,1751175.0,4,75.0,3687131.25,3165000.0,35.62068071213901,-1935956.25,-39.37931928786099,2334900.0,-2581275.0,Below pace
Homeless Strategy Office,Pay for Success Reserve Fund,4760739.0,0.0,1,75.0,3570554.25,4760739.0,0.0,-3570554.25,-75.0,0.0,-4760739.0,Below pace
Building Services,City Hall Fund,4747470.0,4238611.350000001,65,75.0,3560602.5,508858.64999999944,89.2814772921156,678008.8500000006,14.281477292115596,5651481.800000001,904011.8000000007,Above pace
Watershed Protection,Regional Stm Wtr Programs,4661667.0,3496250.25,1,75.0,3496250.25,1165416.75,75.0,0.0,0.0,4661667.0,0.0,Near pace
Austin Convention Center,Convention Center Palmer Events Center Garage Fund,4527392.0,3483859.45,76,75.0,3395544.0,1043532.5499999998,76.95069147977468,88315.45000000019,1.950691479774676,4645145.933333334,117753.93333333358,Near pace
Financial Services,Whisper Valley Public Improvement District Fund,4194994.0,1751161.88,5,75.0,3146245.5,2443832.12,41.744085450420194,-1395083.62,-33.255914549579806,2334882.5066666664,-1860111.4933333336,Below pace
Public Works,Child Safety Fund,4084185.0,3467611.6599999997,118,75.0,3063138.75,616573.3400000003,84.90339345548743,404472.9099999997,9.903393455487432,4623482.213333333,539297.2133333329,Above pace
Economic Development,General Fund,4066735.0,2919386.79,4,75.0,3050051.25,1147348.21,71.78699349724042,-130664.45999999996,-3.2130065027595833,3892515.72,-174219.2799999998,Near pace
Austin Public Health,1115 Medicaid Waiver,3833943.6799999997,376129.29,80,75.0,2875457.76,3457814.3899999997,9.810506397423136,-2499328.4699999997,-65.18949360257686,501505.72,-3332437.96,Below pace
Public Works,Project Connect - Office Fund,3556067.0,2120263.98,47,75.0,2667050.25,1435803.02,59.62384791962581,-546786.27,-15.37615208037419,2827018.64,-729048.3599999999,Below pace
Austin Water,S-Wastewater Improvements,3554667.0,2962221.0,1,75.0,2666000.25,592446.0,83.33329113528778,296220.75,8.33329113528778,3949628.0,394961.0,Above pace
Austin Public Library,Library Facilities Maintenance and Improvements,2947275.0,329012.77999999997,24,75.0,2210456.25,2618262.22,11.163287443485931,-1881443.47,-63.83671255651407,438683.7066666666,-2508591.2933333335,Below pace
"Office of Arts, Culture, Music and Entertainment",Economic Development Fund,2946429.0,1610696.8199999998,144,75.0,2209821.75,1335732.1800000002,54.66606593948131,-599124.9300000002,-20.333934060518693,2147595.76,-798833.2400000002,Below pace
"Office of Arts, Culture, Music and Entertainment",Iconic Venue Fund,2900000.0,2900000.0,2,75.0,2175000.0,0.0,100.0,725000.0,25.0,3866666.6666666665,966666.6666666665,Above pace
Austin Energy,Vol. Utility Assistance Fund,2700000.0,2161244.54,1,75.0,2025000.0,538755.46,80.04609407407408,136244.54000000004,5.046094074074077,2881659.3866666667,181659.38666666672,Above pace
Building Services,Grove Boulevard Campus Facility Fund,2644112.0,1291470.01,2,75.0,1983084.0,1352641.99,48.84324151170601,-691613.99,-26.15675848829399,1721960.0133333334,-922151.9866666666,Below pace
Enterprise Debt Service,Conv Ctr Town Lake Park Venue Project Bond Redemption Fund,2517453.0,2517453.12,2,75.0,1888089.75,-0.12000000011175871,100.00000476672255,629363.3700000001,25.000004766722554,3356604.16,839151.1600000001,Above pace
Financial Services,Estancia Hill Country Public Improvement District Fund,2511871.0,2645523.52,5,75.0,1883903.25,-133652.52000000002,105.32083534544569,761620.27,30.320835345445687,3527364.6933333334,1015493.6933333334,Above pace
Financial Services,Austin Cable Access Fund,2047500.0,1378858.19,9,75.0,1535625.0,668641.81,67.34350134310134,-156766.81000000006,-7.656498656898663,1838477.5866666667,-209022.41333333333,Below pace
Aviation,Airport Subordinate Obligation Fund,2000195.0,1300633.3399999999,2,75.0,1500146.25,699561.6600000001,65.0253270306145,-199512.91000000015,-9.974672969385495,1734177.7866666664,-266017.2133333336,Below pace
