state,focus_group,population_lakh_reported,population_lakh,districts,cities_covered,cities_health_facility_mapped,cities_slum_mapped,cities_vulnerability_mapped,cbr,cdr,imr,mmr,tfr,sex_ratio,life_expectancy,nmr,u5mr,sub_centres,rural_subdistrict_facilities_24x7,uphcs_24x7,phcs,phcs_three_nurses,uphcs_operational,uphcs_minimum_package,chcs,uchcs_24x7,district_hospitals,facilities_24x7,core_public_facilities,urban_facility_mapping_pct,urban_slum_mapping_pct,urban_vulnerability_mapping_pct,phc_three_nurse_readiness_pct,uphc_minimum_package_pct,facilities_24x7_per_100k,phcs_per_100k,district_hospitals_per_million,core_facilities_per_100k,access_gap_percentile,phc_staffing_gap_percentile,urban_mapping_gap_percentile,infant_mortality_burden_percentile,priority_component_count,review_priority_score,data_completeness_pct,review_priority_band
Uttar Pradesh,High Focus - Non-NE,1998.12,1998.12,75.0,192.0,170.0,170.0,167.0,23.6,6.5,37.0,141.0,2.6,916.0,68.0,26.0,42.0,27191.0,1711.0,0.0,3032.0,165.0,722.0,721.0,945.0,13.0,188.0,1724.0,31356.0,88.54166666666667,88.54166666666667,86.97916666666667,5.441952506596306,99.86149584487535,0.8628110423798371,1.51742638079795,0.9408844313654836,15.692751186114949,0.9117647058823529,0.9142857142857143,0.8,0.9722222222222222,4,89.95681605975724,100.0,Higher review priority
Odisha,High Focus - Non-NE,419.74,419.74,30.0,50.0,45.0,50.0,50.0,16.0,7.7,30.0,153.0,1.7,923.0,70.5,21.0,35.0,6688.0,471.0,5.0,1290.0,77.0,116.0,102.0,379.0,7.0,32.0,483.0,8389.0,90.0,100.0,100.0,5.9689922480620154,87.93103448275862,1.1507123457378376,3.0733311097345974,0.7623767093915281,19.98618192214228,0.8823529411764706,0.8857142857142857,0.7428571428571429,0.8611111111111112,4,84.30088702147526,100.0,Higher review priority
Delhi,Non-High Focus - Small & UT,167.88,167.88,11.0,2.0,0.0,0.0,0.0,12.9,4.5,14.0,,1.2,872.0,74.2,9.0,16.0,117.0,0.0,0.0,0.0,0.0,123.0,123.0,0.0,0.0,20.0,0.0,137.0,0.0,0.0,0.0,,100.0,0.0,0.0,1.1913271384322135,0.8160590898260662,1.0,,0.9857142857142858,0.4444444444444444,3,81.00529100529101,75.0,Higher review priority
Jharkhand,High Focus - Non-NE,329.88,329.88,24.0,24.0,24.0,24.0,0.0,20.6,6.3,29.0,54.0,2.1,925.0,69.5,20.0,32.0,4056.0,400.0,10.0,332.0,0.0,79.0,35.0,191.0,7.0,21.0,417.0,4600.0,100.0,100.0,0.0,0.0,44.30379746835443,1.2640960349217898,1.0064265793621923,0.6365951255001819,13.944464653813508,0.8235294117647058,0.9714285714285714,0.35714285714285715,0.8194444444444444,4,74.28863211951446,100.0,Higher review priority
West Bengal,Non-High Focus - Large,912.76,912.76,23.0,98.0,88.0,88.0,88.0,14.0,5.7,17.0,104.0,1.3,931.0,72.5,13.0,18.0,13584.0,603.0,0.0,906.0,229.0,478.0,44.0,347.0,3.0,14.0,606.0,14851.0,89.79591836734694,89.79591836734694,89.79591836734694,25.275938189845476,9.205020920502092,0.6639204171961961,0.9925938910556992,0.1533809544677681,16.2704325342916,0.9411764705882353,0.6285714285714286,0.7714285714285715,0.5694444444444444,4,72.76552287581698,100.0,Higher review priority
Bihar,High Focus - Non-NE,1040.99,1040.99,38.0,27.0,27.0,0.0,27.0,25.8,6.1,23.0,104.0,2.8,897.0,69.3,18.0,27.0,14661.0,1222.0,1.0,1690.0,104.0,108.0,108.0,383.0,0.0,36.0,1223.0,16770.0,100.0,0.0,100.0,6.153846153846154,100.0,1.1748431781285122,1.6234545961056301,0.3458246476911402,16.109664838278945,0.8529411764705882,0.8571428571428571,0.35714285714285715,0.75,4,70.43067226890756,100.0,Higher review priority
Gujarat,Non-High Focus - Large,604.4,604.4,34.0,91.0,86.0,86.0,0.0,17.6,6.4,20.0,51.0,1.8,900.0,70.4,15.0,23.0,9922.0,947.0,31.0,1523.0,157.0,452.0,452.0,353.0,31.0,18.0,1009.0,11816.0,94.50549450549451,94.50549450549451,0.0,10.3086014445174,100.0,1.6694242223692919,2.5198544010589012,0.29781601588352086,19.54996690933157,0.6176470588235294,0.7714285714285715,0.7142857142857143,0.6944444444444444,4,69.94514472455649,100.0,Higher review priority
Telangana,Non-High Focus - Large,0.0,,33.0,56.0,42.0,42.0,42.0,15.8,6.3,18.0,59.0,1.5,908.0,70.8,14.0,22.0,5166.0,454.0,23.0,881.0,326.0,249.0,249.0,91.0,11.0,3.0,488.0,6141.0,75.0,75.0,75.0,37.003405221339385,100.0,,,,,,0.5714285714285714,0.8285714285714286,0.6111111111111112,3,67.03703703703704,75.0,Higher review priority
Chandigarh,Non-High Focus - Small & UT,10.55,10.55,1.0,1.0,1.0,1.0,0.0,11.1,4.0,7.0,,,,,,,19.0,1.0,0.0,5.0,0.0,29.0,29.0,0.0,2.0,1.0,3.0,25.0,100.0,100.0,0.0,0.0,100.0,0.2843601895734597,0.47393364928909953,0.9478672985781991,2.3696682464454977,0.9705882352941176,0.9714285714285714,0.35714285714285715,0.18055555555555555,4,61.992880485527536,62.5,Higher review priority
Uttarakhand,High Focus - Non-NE,100.86,100.86,13.0,5.0,5.0,5.0,5.0,16.9,6.1,20.0,91.0,1.7,868.0,71.3,14.0,23.0,1896.0,169.0,0.0,575.0,40.0,37.0,1.0,79.0,0.0,13.0,169.0,2563.0,100.0,100.0,100.0,6.956521739130435,2.7027027027027026,1.6755899266309737,5.70097164386278,1.288915328177672,25.41146143168749,0.5882352941176471,0.8285714285714286,0.35714285714285715,0.6944444444444444,4,61.709850606909434,100.0,Higher review priority
